Energy	Hydrogen	Helium	Lithium	Beryllium	Boron	Carbon	Nitrogen	Oxygen	Fluorine	Neon	Sodium	Magnesium	Aluminum	Silicon	Phosphorus	Sulfur	Chlorine	Argon	Potassium
11.7	2.89E-05	3.45E-05	0.13107828	0.794438828	1.92E+00	3.452927749	0.002879281	0.005036735	0.009399491	0.006874164	9.672956427	22.9921	45.35865136	50.57502679	47.41871603	65.07550333	0.109520664	0.066289744	45.8271148
11.8	2.89E-05	3.44E-05	0.129668491	0.779413844	1.88E+00	3.37246432	0.002809733	0.004913247	0.009168009	0.006705085	9.436083834	22.42154	44.24484563	49.34081368	46.26943824	63.50890495	0.106875251	0.064720636	44.75100971
11.9	2.89E-05	3.43E-05	0.128307712	0.764902447	1.83E+00	3.294748943	0.00274254	0.00479391	0.008944247	0.006541598	9.20697822	21.86986	43.16693348	48.14604131	45.15660203	61.99153761	0.1043138	0.063201886	43.70824613
12	2.89E-05	3.42E-05	0.126993851	0.750882985	1.79E+00	3.219665889	0.002677605	0.00467855	0.008727884	0.006383474	8.985323158	21.33627	42.12347305	46.98913607	44.0787627	60.52146349	0.101833054	0.061731486	42.69752788
12.1	2.89E-05	3.41E-05	0.125724919	0.737334888	1.75E+00	3.147105204	0.002614834	0.004567004	0.008518618	0.006230494	8.770817583	20.82006	41.11309161	45.86859938	43.03454406	59.09683612	0.099429902	0.060307524	41.71761918
12.2	2.89E-05	3.40E-05	0.124499026	0.724238608	1.711677006	3.076962385	0.002554138	0.004459116	0.00831616	0.006082451	8.563174926	20.32051	40.13448177	44.78300356	42.02263466	57.71589537	0.097101376	0.058928179	40.76734135
12.3	2.89E-05	3.39E-05	0.123314378	0.711575555	1.673272434	3.00913806	0.002495432	0.004354737	0.008120237	0.005939148	8.362122306	19.83697	39.18639783	43.73098793	41.04178427	56.37696277	0.094844636	0.057591714	39.8455698
12.4	2.89E-05	3.39E-05	0.122169268	0.699328052	1.636107812	2.943537704	0.002438635	0.004253727	0.007930586	0.005800395	8.167399776	19.36879	38.26765243	42.71125514	40.09080054	55.07843712	0.092656974	0.056296471	38.95123111
12.5	2.89E-05	3.38E-05	0.121062075	0.687479272	1.600133587	2.880071362	0.002383671	0.00415595	0.00774696	0.005666015	7.97875961	18.91538	37.37711338	41.72256781	39.16854591	53.81879032	0.090535798	0.055040871	38.08330031
12.6	2.89E-05	3.37E-05	0.119991253	0.676013201	1.565302562	2.818653393	0.002330466	0.004061279	0.00756912	0.005535835	7.795965638	18.47617	36.51370067	40.76374523	38.27393465	52.59656354	0.088478632	0.053823405	37.24079838
12.7	2.89E-05	3.36E-05	0.118955334	0.664914584	1.531569762	2.759202236	0.002278952	0.003969591	0.007396841	0.005409693	7.618792622	18.05059	35.67638371	39.83366041	37.40593017	51.41036353	0.086483107	0.052642634	36.42278982
12.8	2.89E-05	3.36E-05	0.117952919	0.654168892	1.498892321	2.701640181	0.002229061	0.003880771	0.007229907	0.005287433	7.447025671	17.63813	34.86417868	38.93123724	36.56354239	50.2588592	0.084546957	0.051497183	35.62838042
12.9	2.89E-05	3.35E-05	0.116982674	0.643762274	1.467229357	2.645893162	0.002180731	0.003794706	0.007068114	0.005168907	7.280459689	17.23829	34.07614607	38.05544777	35.74582535	49.14077844	0.082668015	0.050385737	34.85671512
13	2.89E-05	3.34E-05	0.116043331	0.633681527	1.436541877	2.591890558	0.002133901	0.003711293	0.006911264	0.005053974	7.118898857	16.85059	33.31138837	37.20530977	34.95187491	48.054905	0.080844206	0.049307041	34.10697604
13.1	2.89E-05	3.34E-05	0.115133677	0.623914055	1.406792668	2.539565009	0.002088514	0.003630428	0.00675917	0.004942497	6.962156149	16.47457	32.56904792	36.37988434	34.18082659	47.00007571	0.079073543	0.048259895	33.3783806
13.2	2.89E-05	3.33E-05	0.114252559	0.614447843	1.377946204	2.488852241	0.002044514	0.003552017	0.006611654	0.004834349	6.810052874	16.1098	31.84830481	35.57827369	33.43185356	45.97517776	0.077354124	0.047243151	32.67017972
13.3	2.89E-05	3.32E-05	0.113398876	0.605271421	1.349968563	2.439690903	0.00200185	0.003475966	0.006468545	0.004729406	6.662418244	15.75586	31.14837496	34.79961904	32.70416477	44.97914616	0.075684126	0.04625571	31.98165617
13.4	2.89E-05	3.32E-05	0.112571576	0.596373838	1.322827337	2.392022415	0.00196047	0.003402188	0.006329679	0.00462755	6.519088969	15.41236	30.46850833	34.04309868	31.99700308	44.01096136	0.074061803	0.045296522	31.31212299
13.5	2.89E-05	3.31E-05	0.111769657	0.587744635	1.296491556	2.345790821	0.001920328	0.003330599	0.006194901	0.004528668	6.379908878	15.07891	29.8079872	33.30792611	31.30964362	43.06964697	0.072485483	0.044364581	30.66092203
13.6	2.89E-05	3.31E-05	0.11099216	0.579373817	1.270931615	2.300942657	0.001881378	0.003261118	0.006064061	0.004432652	6.244728557	14.75514	29.16612452	32.59334824	30.6413922	42.15426769	0.07095356	0.043458924	30.02742249
13.7	2.89E-05	3.30E-05	0.11023817	0.571251832	1.246119204	2.257426817	0.001843575	0.003193669	0.005937017	0.004339399	6.113405012	14.44072	28.54226244	31.89864379	29.99158374	41.26392722	0.069464497	0.042578628	29.41101965
13.8	2.89E-05	3.29E-05	0.109506812	0.563369547	1.222027241	2.215194438	0.001806878	0.003128177	0.005813632	0.00424881	5.985801345	14.13531	27.9357708	31.22312173	29.35958094	40.39776645	0.068016818	0.041722808	28.81113359
13.9	2.89E-05	3.29E-05	0.108797251	0.555718228	1.198629813	2.174198785	0.001771248	0.003064573	0.005693776	0.004160791	5.861786459	13.83858	27.34604585	30.56611977	28.74477284	39.5549616	0.066609106	0.040890618	28.22720798
14	2.89E-05	3.28E-05	0.108108687	0.548289518	1.175902115	2.134395142	0.001736645	0.003002789	0.005577323	0.004075252	5.741234769	13.55023	26.77250894	29.92700299	28.14657362	38.73472258	0.065240004	0.040081245	27.65870904
